Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
52	 0.004615	 0.004504	 0.000045	 0.000000	 0.000039	0.244103	 0.238439	 0.002655	 0.000000	 0.001491
53	 0.004373	 0.004307	 0.000027	 0.000000	 0.000019	0.248476	 0.242746	 0.002682	 0.000000	 0.001510
54	 0.004912	 0.004796	 0.000046	 0.000000	 0.000041	0.253388	 0.247542	 0.002728	 0.000000	 0.001551
55	 0.004056	 0.003989	 0.000026	 0.000000	 0.000018	0.257444	 0.251531	 0.002754	 0.000000	 0.001569
56	 0.004439	 0.004329	 0.000045	 0.000000	 0.000039	0.261883	 0.255860	 0.002799	 0.000000	 0.001608
57	 0.004138	 0.004071	 0.000026	 0.000000	 0.000018	0.266021	 0.259931	 0.002825	 0.000000	 0.001626
58	 0.004543	 0.004427	 0.000047	 0.000000	 0.000043	0.270564	 0.264358	 0.002872	 0.000000	 0.001669
59	 0.004052	 0.003988	 0.000025	 0.000000	 0.000016	0.274616	 0.268346	 0.002897	 0.000000	 0.001685
60	 0.003866	 0.003753	 0.000045	 0.000000	 0.000040	0.278482	 0.272099	 0.002942	 0.000000	 0.001725
61	 0.004105	 0.004042	 0.000026	 0.000000	 0.000017	0.282587	 0.276141	 0.002968	 0.000000	 0.001742
62	 0.005068	 0.004919	 0.000067	 0.000000	 0.000042	0.287655	 0.281060	 0.003035	 0.000000	 0.001784
63	 0.004228	 0.004146	 0.000040	 0.000000	 0.000020	0.291883	 0.285206	 0.003075	 0.000000	 0.001804
64	 0.003929	 0.003817	 0.000049	 0.000000	 0.000035	0.295812	 0.289023	 0.003124	 0.000000	 0.001839
65	 0.003794	 0.003715	 0.000037	 0.000000	 0.000018	0.299606	 0.292738	 0.003161	 0.000000	 0.001857
66	 0.004598	 0.004474	 0.000058	 0.000000	 0.000042	0.304204	 0.297212	 0.003219	 0.000000	 0.001899
67	 0.004316	 0.004250	 0.000026	 0.000000	 0.000017	0.308520	 0.301462	 0.003245	 0.000000	 0.001916
68	 0.004128	 0.004022	 0.000046	 0.000000	 0.000033	0.312648	 0.305484	 0.003291	 0.000000	 0.001949
69	 0.004220	 0.004154	 0.000026	 0.000000	 0.000018	0.316868	 0.309638	 0.003317	 0.000000	 0.001967
70	 0.005319	 0.005215	 0.000046	 0.000000	 0.000032	0.322187	 0.314853	 0.003363	 0.000000	 0.001999
71	 0.004274	 0.004205	 0.000027	 0.000000	 0.000019	0.326461	 0.319058	 0.003390	 0.000000	 0.002018
72	 0.004731	 0.004601	 0.000068	 0.000000	 0.000035	0.331192	 0.323659	 0.003458	 0.000000	 0.002053
73	 0.004798	 0.004722	 0.000037	 0.000000	 0.000017	0.335990	 0.328381	 0.003495	 0.000000	 0.002070
74	 0.004415	 0.004303	 0.000051	 0.000000	 0.000033	0.340405	 0.332684	 0.003546	 0.000000	 0.002103
75	 0.003931	 0.003865	 0.000027	 0.000000	 0.000018	0.344336	 0.336549	 0.003573	 0.000000	 0.002121
76	 0.004311	 0.004205	 0.000045	 0.000000	 0.000035	0.348647	 0.340754	 0.003618	 0.000000	 0.002156
77	 0.004760	 0.004696	 0.000027	 0.000000	 0.000017	0.353407	 0.345450	 0.003645	 0.000000	 0.002173
78	 0.004031	 0.003922	 0.000048	 0.000000	 0.000034	0.357438	 0.349372	 0.003693	 0.000000	 0.002207
79	 0.003969	 0.003907	 0.000026	 0.000000	 0.000017	0.361407	 0.353279	 0.003719	 0.000000	 0.002224
80	 0.004035	 0.003924	 0.000049	 0.000000	 0.000034	0.365442	 0.357203	 0.003768	 0.000000	 0.002258
81	 0.004518	 0.004454	 0.000026	 0.000000	 0.000017	0.369960	 0.361657	 0.003794	 0.000000	 0.002275
82	 0.004543	 0.004436	 0.000046	 0.000000	 0.000035	0.374503	 0.366093	 0.003840	 0.000000	 0.002310
83	 0.004008	 0.003931	 0.000037	 0.000000	 0.000018	0.378511	 0.370024	 0.003877	 0.000000	 0.002328
84	 0.003850	 0.003724	 0.000058	 0.000000	 0.000042	0.382361	 0.373748	 0.003935	 0.000000	 0.002370
85	 0.004260	 0.004194	 0.000025	 0.000000	 0.000018	0.386621	 0.377942	 0.003960	 0.000000	 0.002388
86	 0.004111	 0.004004	 0.000044	 0.000000	 0.000035	0.390732	 0.381946	 0.004004	 0.000000	 0.002423
87	 0.003997	 0.003923	 0.000026	 0.000000	 0.000025	0.394729	 0.385869	 0.004030	 0.000000	 0.002448
88	 0.004312	 0.004189	 0.000047	 0.000000	 0.000045	0.399041	 0.390058	 0.004077	 0.000000	 0.002493
89	 0.003851	 0.003778	 0.000026	 0.000000	 0.000027	0.402892	 0.393836	 0.004103	 0.000000	 0.002520
90	 0.004282	 0.004156	 0.000046	 0.000000	 0.000044	0.407174	 0.397992	 0.004149	 0.000000	 0.002564
91	 0.003867	 0.003783	 0.000037	 0.000000	 0.000025	0.411041	 0.401775	 0.004186	 0.000000	 0.002589
92	 0.004716	 0.004590	 0.000057	 0.000000	 0.000042	0.415757	 0.406365	 0.004243	 0.000000	 0.002631
