Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.001547	 0.000774	 0.000585	 0.000000	 0.000135	0.001547	 0.000774	 0.000585	 0.000000	 0.000135
2	 0.005724	 0.005204	 0.000368	 0.000000	 0.000098	0.007271	 0.005978	 0.000953	 0.000000	 0.000233
3	 0.005503	 0.005246	 0.000107	 0.000000	 0.000085	0.012774	 0.011224	 0.001060	 0.000000	 0.000318
4	 0.005001	 0.004857	 0.000080	 0.000000	 0.000030	0.017775	 0.016081	 0.001140	 0.000000	 0.000348
5	 0.005777	 0.005119	 0.000388	 0.000000	 0.000219	0.023552	 0.021200	 0.001528	 0.000000	 0.000567
6	 0.005437	 0.005252	 0.000085	 0.000000	 0.000050	0.028989	 0.026452	 0.001613	 0.000000	 0.000617
7	 0.006217	 0.006074	 0.000071	 0.000000	 0.000032	0.035206	 0.032526	 0.001684	 0.000000	 0.000649
8	 0.005893	 0.005695	 0.000094	 0.000000	 0.000052	0.041099	 0.038221	 0.001778	 0.000000	 0.000701
9	 0.006089	 0.005622	 0.000301	 0.000000	 0.000091	0.047188	 0.043843	 0.002079	 0.000000	 0.000792
10	 0.006533	 0.006278	 0.000114	 0.000000	 0.000102	0.053721	 0.050121	 0.002193	 0.000000	 0.000894
11	 0.005773	 0.005510	 0.000141	 0.000000	 0.000077	0.059494	 0.055631	 0.002334	 0.000000	 0.000971
12	 0.004435	 0.004342	 0.000036	 0.000000	 0.000031	0.063929	 0.059973	 0.002370	 0.000000	 0.001002
13	 0.004830	 0.004696	 0.000072	 0.000000	 0.000036	0.068759	 0.064669	 0.002442	 0.000000	 0.001038
14	 0.004887	 0.004797	 0.000035	 0.000000	 0.000025	0.073646	 0.069466	 0.002477	 0.000000	 0.001063
15	 0.004329	 0.004184	 0.000074	 0.000000	 0.000037	0.077975	 0.073650	 0.002551	 0.000000	 0.001100
16	 0.004347	 0.004247	 0.000042	 0.000000	 0.000030	0.082322	 0.077897	 0.002593	 0.000000	 0.001130
17	 0.004376	 0.004213	 0.000082	 0.000000	 0.000040	0.086698	 0.082110	 0.002675	 0.000000	 0.001170
18	 0.004974	 0.004886	 0.000029	 0.000000	 0.000025	0.091672	 0.086996	 0.002704	 0.000000	 0.001195
19	 0.006325	 0.006194	 0.000069	 0.000000	 0.000018	0.097997	 0.093190	 0.002773	 0.000000	 0.001213
20	 0.006193	 0.006009	 0.000103	 0.000000	 0.000029	0.104190	 0.099199	 0.002876	 0.000000	 0.001242
21	 0.005498	 0.005299	 0.000114	 0.000000	 0.000046	0.109688	 0.104498	 0.002990	 0.000000	 0.001288
22	 0.005750	 0.005646	 0.000057	 0.000000	 0.000019	0.115438	 0.110144	 0.003047	 0.000000	 0.001307
23	 0.005830	 0.005692	 0.000058	 0.000000	 0.000033	0.121268	 0.115836	 0.003105	 0.000000	 0.001340
24	 0.004935	 0.004786	 0.000085	 0.000000	 0.000031	0.126203	 0.120622	 0.003190	 0.000000	 0.001371
25	 0.006101	 0.005916	 0.000088	 0.000000	 0.000046	0.132304	 0.126538	 0.003278	 0.000000	 0.001417
26	 0.007437	 0.007146	 0.000143	 0.000000	 0.000087	0.139741	 0.133684	 0.003421	 0.000000	 0.001504
27	 0.006026	 0.005717	 0.000157	 0.000000	 0.000092	0.145767	 0.139401	 0.003578	 0.000000	 0.001596
28	 0.005904	 0.005800	 0.000043	 0.000000	 0.000027	0.151671	 0.145201	 0.003621	 0.000000	 0.001623
29	 0.005069	 0.004914	 0.000079	 0.000000	 0.000039	0.156740	 0.150115	 0.003700	 0.000000	 0.001662
30	 0.005844	 0.005727	 0.000070	 0.000000	 0.000017	0.162584	 0.155842	 0.003770	 0.000000	 0.001679
31	 0.007528	 0.007340	 0.000099	 0.000000	 0.000039	0.170112	 0.163182	 0.003869	 0.000000	 0.001718
32	 0.007195	 0.007069	 0.000046	 0.000000	 0.000025	0.177307	 0.170251	 0.003915	 0.000000	 0.001743
33	 0.005477	 0.005360	 0.000046	 0.000000	 0.000023	0.182784	 0.175611	 0.003961	 0.000000	 0.001766
34	 0.005053	 0.004936	 0.000055	 0.000000	 0.000022	0.187837	 0.180547	 0.004016	 0.000000	 0.001788
35	 0.005375	 0.005280	 0.000040	 0.000000	 0.000019	0.193212	 0.185827	 0.004056	 0.000000	 0.001807
36	 0.007565	 0.007445	 0.000051	 0.000000	 0.000023	0.200777	 0.193272	 0.004107	 0.000000	 0.001830
37	 0.006743	 0.006609	 0.000052	 0.000000	 0.000030	0.207520	 0.199881	 0.004159	 0.000000	 0.001860
38	 0.005646	 0.005527	 0.000045	 0.000000	 0.000024	0.213166	 0.205408	 0.004204	 0.000000	 0.001884
