Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
52	 0.003929	 0.003857	 0.000027	 0.000000	 0.000021	0.219878	 0.213281	 0.003234	 0.000000	 0.001726
53	 0.003739	 0.003608	 0.000068	 0.000000	 0.000036	0.223617	 0.216889	 0.003302	 0.000000	 0.001762
54	 0.003747	 0.003670	 0.000037	 0.000000	 0.000019	0.227364	 0.220559	 0.003339	 0.000000	 0.001781
55	 0.003805	 0.003684	 0.000059	 0.000000	 0.000038	0.231169	 0.224243	 0.003398	 0.000000	 0.001819
56	 0.003785	 0.003704	 0.000038	 0.000000	 0.000022	0.234954	 0.227947	 0.003436	 0.000000	 0.001841
57	 0.004170	 0.004044	 0.000059	 0.000000	 0.000037	0.239124	 0.231991	 0.003495	 0.000000	 0.001878
58	 0.004258	 0.004105	 0.000073	 0.000000	 0.000032	0.243382	 0.236096	 0.003568	 0.000000	 0.001910
59	 0.004036	 0.003956	 0.000035	 0.000000	 0.000019	0.247418	 0.240052	 0.003603	 0.000000	 0.001929
60	 0.004316	 0.004184	 0.000059	 0.000000	 0.000036	0.251734	 0.244236	 0.003662	 0.000000	 0.001965
61	 0.003425	 0.003336	 0.000039	 0.000000	 0.000030	0.255159	 0.247572	 0.003701	 0.000000	 0.001995
62	 0.003954	 0.003815	 0.000068	 0.000000	 0.000046	0.259113	 0.251387	 0.003769	 0.000000	 0.002041
63	 0.004004	 0.003930	 0.000032	 0.000000	 0.000020	0.263117	 0.255317	 0.003801	 0.000000	 0.002061
64	 0.004423	 0.004301	 0.000057	 0.000000	 0.000038	0.267540	 0.259618	 0.003858	 0.000000	 0.002099
65	 0.004334	 0.004263	 0.000027	 0.000000	 0.000022	0.271874	 0.263881	 0.003885	 0.000000	 0.002121
66	 0.004013	 0.003876	 0.000070	 0.000000	 0.000038	0.275887	 0.267757	 0.003955	 0.000000	 0.002159
67	 0.003845	 0.003754	 0.000037	 0.000000	 0.000019	0.279732	 0.271511	 0.003992	 0.000000	 0.002178
68	 0.004499	 0.004423	 0.000033	 0.000000	 0.000020	0.284231	 0.275934	 0.004025	 0.000000	 0.002198
69	 0.003859	 0.003724	 0.000060	 0.000000	 0.000040	0.288090	 0.279658	 0.004085	 0.000000	 0.002238
70	 0.004368	 0.004304	 0.000025	 0.000000	 0.000018	0.292458	 0.283962	 0.004110	 0.000000	 0.002256
71	 0.005505	 0.005376	 0.000062	 0.000000	 0.000039	0.297963	 0.289338	 0.004172	 0.000000	 0.002295
72	 0.005154	 0.004983	 0.000071	 0.000000	 0.000043	0.303117	 0.294321	 0.004243	 0.000000	 0.002338
73	 0.006507	 0.006166	 0.000195	 0.000000	 0.000078	0.309624	 0.300487	 0.004438	 0.000000	 0.002416
