Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
52	 0.005820	 0.005679	 0.000058	 0.000000	 0.000047	0.291879	 0.284332	 0.003715	 0.000000	 0.001877
53	 0.005243	 0.005157	 0.000034	 0.000000	 0.000023	0.297122	 0.289489	 0.003749	 0.000000	 0.001900
54	 0.005635	 0.005499	 0.000053	 0.000000	 0.000045	0.302757	 0.294988	 0.003802	 0.000000	 0.001945
55	 0.005780	 0.005703	 0.000028	 0.000000	 0.000020	0.308537	 0.300691	 0.003830	 0.000000	 0.001965
56	 0.006164	 0.006005	 0.000071	 0.000000	 0.000050	0.314701	 0.306696	 0.003901	 0.000000	 0.002015
57	 0.004777	 0.004694	 0.000034	 0.000000	 0.000022	0.319478	 0.311390	 0.003935	 0.000000	 0.002037
58	 0.005510	 0.005382	 0.000052	 0.000000	 0.000045	0.324988	 0.316772	 0.003987	 0.000000	 0.002082
59	 0.004712	 0.004626	 0.000037	 0.000000	 0.000021	0.329700	 0.321398	 0.004024	 0.000000	 0.002103
60	 0.004864	 0.004740	 0.000055	 0.000000	 0.000040	0.334564	 0.326138	 0.004079	 0.000000	 0.002143
61	 0.004295	 0.004226	 0.000027	 0.000000	 0.000018	0.338859	 0.330364	 0.004106	 0.000000	 0.002161
62	 0.005340	 0.005184	 0.000072	 0.000000	 0.000041	0.344199	 0.335548	 0.004178	 0.000000	 0.002202
63	 0.005491	 0.005395	 0.000046	 0.000000	 0.000023	0.349690	 0.340943	 0.004224	 0.000000	 0.002225
64	 0.005069	 0.004940	 0.000055	 0.000000	 0.000039	0.354759	 0.345883	 0.004279	 0.000000	 0.002264
65	 0.005745	 0.005632	 0.000057	 0.000000	 0.000023	0.360504	 0.351515	 0.004336	 0.000000	 0.002287
66	 0.005438	 0.005179	 0.000113	 0.000000	 0.000109	0.365942	 0.356694	 0.004449	 0.000000	 0.002396
67	 0.004955	 0.004885	 0.000028	 0.000000	 0.000017	0.370897	 0.361579	 0.004477	 0.000000	 0.002413
68	 0.004705	 0.004594	 0.000049	 0.000000	 0.000033	0.375602	 0.366173	 0.004526	 0.000000	 0.002446
69	 0.005288	 0.005216	 0.000027	 0.000000	 0.000020	0.380890	 0.371389	 0.004553	 0.000000	 0.002466
70	 0.004593	 0.004478	 0.000051	 0.000000	 0.000036	0.385483	 0.375867	 0.004604	 0.000000	 0.002502
71	 0.004947	 0.004877	 0.000027	 0.000000	 0.000019	0.390430	 0.380744	 0.004631	 0.000000	 0.002521
72	 0.005135	 0.004991	 0.000080	 0.000000	 0.000037	0.395565	 0.385735	 0.004711	 0.000000	 0.002558
73	 0.004689	 0.004611	 0.000038	 0.000000	 0.000017	0.400254	 0.390346	 0.004749	 0.000000	 0.002575
74	 0.005029	 0.004915	 0.000053	 0.000000	 0.000034	0.405283	 0.395261	 0.004802	 0.000000	 0.002609
75	 0.004290	 0.004224	 0.000028	 0.000000	 0.000017	0.409573	 0.399485	 0.004830	 0.000000	 0.002626
76	 0.004286	 0.004174	 0.000048	 0.000000	 0.000037	0.413859	 0.403659	 0.004878	 0.000000	 0.002663
77	 0.004544	 0.004478	 0.000026	 0.000000	 0.000017	0.418403	 0.408137	 0.004904	 0.000000	 0.002680
78	 0.004537	 0.004431	 0.000046	 0.000000	 0.000034	0.422940	 0.412568	 0.004950	 0.000000	 0.002714
79	 0.004123	 0.004059	 0.000026	 0.000000	 0.000017	0.427063	 0.416627	 0.004976	 0.000000	 0.002731
80	 0.004253	 0.004142	 0.000049	 0.000000	 0.000037	0.431316	 0.420769	 0.005025	 0.000000	 0.002768
81	 0.004433	 0.004371	 0.000025	 0.000000	 0.000016	0.435749	 0.425140	 0.005050	 0.000000	 0.002784
82	 0.004727	 0.004618	 0.000046	 0.000000	 0.000036	0.440476	 0.429758	 0.005096	 0.000000	 0.002820
83	 0.004089	 0.004006	 0.000043	 0.000000	 0.000020	0.444565	 0.433764	 0.005139	 0.000000	 0.002840
84	 0.004514	 0.004381	 0.000060	 0.000000	 0.000046	0.449079	 0.438145	 0.005199	 0.000000	 0.002886
85	 0.004457	 0.004390	 0.000026	 0.000000	 0.000019	0.453536	 0.442535	 0.005225	 0.000000	 0.002905
86	 0.004815	 0.004706	 0.000046	 0.000000	 0.000038	0.458351	 0.447241	 0.005271	 0.000000	 0.002943
87	 0.004404	 0.004332	 0.000026	 0.000000	 0.000026	0.462755	 0.451573	 0.005297	 0.000000	 0.002969
88	 0.005258	 0.005140	 0.000046	 0.000000	 0.000044	0.468013	 0.456713	 0.005343	 0.000000	 0.003013
89	 0.004817	 0.004739	 0.000027	 0.000000	 0.000028	0.472830	 0.461452	 0.005370	 0.000000	 0.003041
90	 0.004947	 0.004809	 0.000050	 0.000000	 0.000048	0.477777	 0.466261	 0.005420	 0.000000	 0.003089
91	 0.004713	 0.004615	 0.000049	 0.000000	 0.000028	0.482490	 0.470876	 0.005469	 0.000000	 0.003117
92	 0.006175	 0.006043	 0.000058	 0.000000	 0.000042	0.488665	 0.476919	 0.005527	 0.000000	 0.003159
93	 0.005188	 0.005100	 0.000039	 0.000000	 0.000022	0.493853	 0.482019	 0.005566	 0.000000	 0.003181
94	 0.005006	 0.004866	 0.000074	 0.000000	 0.000037	0.498859	 0.486885	 0.005640	 0.000000	 0.003218
95	 0.004965	 0.004867	 0.000042	 0.000000	 0.000018	0.503824	 0.491752	 0.005682	 0.000000	 0.003236
96	 0.005430	 0.005351	 0.000034	 0.000000	 0.000020	0.509254	 0.497103	 0.005716	 0.000000	 0.003256
97	 0.006291	 0.006144	 0.000068	 0.000000	 0.000036	0.515545	 0.503247	 0.005784	 0.000000	 0.003292
98	 0.005281	 0.005175	 0.000053	 0.000000	 0.000023	0.520826	 0.508422	 0.005837	 0.000000	 0.003315
99	 0.005173	 0.005034	 0.000054	 0.000000	 0.000040	0.525999	 0.513456	 0.005891	 0.000000	 0.003355
100	 0.005657	 0.005550	 0.000031	 0.000000	 0.000034	0.531656	 0.519006	 0.005922	 0.000000	 0.003389
101	 0.005387	 0.005304	 0.000031	 0.000000	 0.000029	0.537043	 0.524310	 0.005953	 0.000000	 0.003418
102	 0.006425	 0.006300	 0.000049	 0.000000	 0.000047	0.543468	 0.530610	 0.006002	 0.000000	 0.003465
103	 0.005096	 0.005010	 0.000033	 0.000000	 0.000024	0.548564	 0.535620	 0.006035	 0.000000	 0.003489
104	 0.005266	 0.005125	 0.000063	 0.000000	 0.000051	0.553830	 0.540745	 0.006098	 0.000000	 0.003540
105	 0.004615	 0.004542	 0.000027	 0.000000	 0.000020	0.558445	 0.545287	 0.006125	 0.000000	 0.003560
106	 0.004390	 0.004265	 0.000051	 0.000000	 0.000046	0.562835	 0.549552	 0.006176	 0.000000	 0.003606
107	 0.004815	 0.004745	 0.000027	 0.000000	 0.000021	0.567650	 0.554297	 0.006203	 0.000000	 0.003627
108	 0.004326	 0.004204	 0.000049	 0.000000	 0.000045	0.571976	 0.558501	 0.006252	 0.000000	 0.003672
109	 0.004151	 0.004081	 0.000027	 0.000000	 0.000021	0.576127	 0.562582	 0.006279	 0.000000	 0.003693
110	 0.004496	 0.004381	 0.000046	 0.000000	 0.000043	0.580623	 0.566963	 0.006325	 0.000000	 0.003736
111	 0.004883	 0.004810	 0.000030	 0.000000	 0.000019	0.585506	 0.571773	 0.006355	 0.000000	 0.003755
112	 0.004671	 0.004552	 0.000048	 0.000000	 0.000046	0.590177	 0.576325	 0.006403	 0.000000	 0.003801
113	 0.004589	 0.004522	 0.000026	 0.000000	 0.000019	0.594766	 0.580847	 0.006429	 0.000000	 0.003820
114	 0.004188	 0.004069	 0.000046	 0.000000	 0.000046	0.598954	 0.584916	 0.006475	 0.000000	 0.003866
115	 0.004240	 0.004154	 0.000046	 0.000000	 0.000018	0.603194	 0.589070	 0.006521	 0.000000	 0.003884
116	 0.005128	 0.005003	 0.000059	 0.000000	 0.000039	0.608322	 0.594073	 0.006580	 0.000000	 0.003923
117	 0.005695	 0.005613	 0.000027	 0.000000	 0.000019	0.614017	 0.599686	 0.006607	 0.000000	 0.003942
118	 0.005498	 0.005423	 0.000029	 0.000000	 0.000020	0.619515	 0.605109	 0.006636	 0.000000	 0.003962
119	 0.006162	 0.006044	 0.000048	 0.000000	 0.000039	0.625677	 0.611153	 0.006684	 0.000000	 0.004001
120	 0.005229	 0.005085	 0.000062	 0.000000	 0.000047	0.630906	 0.616238	 0.006746	 0.000000	 0.004048
121	 0.004492	 0.004338	 0.000073	 0.000000	 0.000040	0.635398	 0.620576	 0.006819	 0.000000	 0.004088
122	 0.004368	 0.004280	 0.000037	 0.000000	 0.000027	0.639766	 0.624856	 0.006856	 0.000000	 0.004115
123	 0.004725	 0.004600	 0.000051	 0.000000	 0.000046	0.644491	 0.629456	 0.006907	 0.000000	 0.004161
124	 0.005303	 0.005222	 0.000028	 0.000000	 0.000028	0.649794	 0.634678	 0.006935	 0.000000	 0.004189
125	 0.005624	 0.005494	 0.000051	 0.000000	 0.000048	0.655418	 0.640172	 0.006986	 0.000000	 0.004237
126	 0.005207	 0.005125	 0.000029	 0.000000	 0.000020	0.660625	 0.645297	 0.007015	 0.000000	 0.004257
127	 0.005476	 0.005319	 0.000064	 0.000000	 0.000058	0.666101	 0.650616	 0.007079	 0.000000	 0.004315
128	 0.005340	 0.005255	 0.000030	 0.000000	 0.000030	0.671441	 0.655871	 0.007109	 0.000000	 0.004345
129	 0.004785	 0.004652	 0.000050	 0.000000	 0.000052	0.676226	 0.660523	 0.007159	 0.000000	 0.004397
130	 0.004693	 0.004592	 0.000049	 0.000000	 0.000028	0.680919	 0.665115	 0.007208	 0.000000	 0.004425
131	 0.005174	 0.005036	 0.000063	 0.000000	 0.000048	0.686093	 0.670151	 0.007271	 0.000000	 0.004473
132	 0.004673	 0.004588	 0.000026	 0.000000	 0.000019	0.690766	 0.674739	 0.007297	 0.000000	 0.004492
133	 0.005335	 0.005246	 0.000032	 0.000000	 0.000021	0.696101	 0.679985	 0.007329	 0.000000	 0.004513
134	 0.005216	 0.005130	 0.000029	 0.000000	 0.000032	0.701317	 0.685115	 0.007358	 0.000000	 0.004545
135	 0.005737	 0.005595	 0.000053	 0.000000	 0.000050	0.707054	 0.690710	 0.007411	 0.000000	 0.004595
136	 0.005128	 0.004982	 0.000079	 0.000000	 0.000032	0.712182	 0.695692	 0.007490	 0.000000	 0.004627
137	 0.005345	 0.005212	 0.000059	 0.000000	 0.000040	0.717527	 0.700904	 0.007549	 0.000000	 0.004667
138	 0.005502	 0.005363	 0.000062	 0.000000	 0.000026	0.723029	 0.706267	 0.007611	 0.000000	 0.004693
139	 0.005563	 0.005444	 0.000064	 0.000000	 0.000024	0.728592	 0.711711	 0.007675	 0.000000	 0.004717
140	 0.004801	 0.004665	 0.000067	 0.000000	 0.000040	0.733393	 0.716376	 0.007742	 0.000000	 0.004757
141	 0.005249	 0.005149	 0.000033	 0.000000	 0.000029	0.738642	 0.721525	 0.007775	 0.000000	 0.004786
142	 0.006785	 0.006689	 0.000040	 0.000000	 0.000029	0.745427	 0.728214	 0.007815	 0.000000	 0.004815
143	 0.005799	 0.005635	 0.000078	 0.000000	 0.000051	0.751226	 0.733849	 0.007893	 0.000000	 0.004866
144	 0.005142	 0.005052	 0.000042	 0.000000	 0.000021	0.756368	 0.738901	 0.007935	 0.000000	 0.004887
