Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
52	 0.006403	 0.006194	 0.000089	 0.000000	 0.000068	0.280365	 0.271778	 0.004214	 0.000000	 0.002046
53	 0.004810	 0.004692	 0.000054	 0.000000	 0.000024	0.285175	 0.276470	 0.004268	 0.000000	 0.002070
54	 0.005623	 0.005462	 0.000072	 0.000000	 0.000053	0.290798	 0.281932	 0.004340	 0.000000	 0.002123
55	 0.005824	 0.005689	 0.000067	 0.000000	 0.000031	0.296622	 0.287621	 0.004407	 0.000000	 0.002154
56	 0.006006	 0.005806	 0.000093	 0.000000	 0.000067	0.302628	 0.293427	 0.004500	 0.000000	 0.002221
57	 0.004451	 0.004355	 0.000038	 0.000000	 0.000023	0.307079	 0.297782	 0.004538	 0.000000	 0.002244
58	 0.004575	 0.004382	 0.000080	 0.000000	 0.000069	0.311654	 0.302164	 0.004618	 0.000000	 0.002313
59	 0.005428	 0.005338	 0.000043	 0.000000	 0.000021	0.317082	 0.307502	 0.004661	 0.000000	 0.002334
60	 0.004963	 0.004829	 0.000055	 0.000000	 0.000047	0.322045	 0.312331	 0.004716	 0.000000	 0.002381
61	 0.005000	 0.004926	 0.000030	 0.000000	 0.000018	0.327045	 0.317257	 0.004746	 0.000000	 0.002399
62	 0.005367	 0.005189	 0.000082	 0.000000	 0.000051	0.332412	 0.322446	 0.004828	 0.000000	 0.002450
63	 0.006120	 0.005991	 0.000058	 0.000000	 0.000031	0.338532	 0.328437	 0.004886	 0.000000	 0.002481
64	 0.005350	 0.005198	 0.000065	 0.000000	 0.000041	0.343882	 0.333635	 0.004951	 0.000000	 0.002522
65	 0.005673	 0.005515	 0.000080	 0.000000	 0.000034	0.349555	 0.339150	 0.005031	 0.000000	 0.002556
66	 0.005414	 0.005239	 0.000087	 0.000000	 0.000052	0.354969	 0.344389	 0.005118	 0.000000	 0.002608
67	 0.005753	 0.005640	 0.000044	 0.000000	 0.000032	0.360722	 0.350029	 0.005162	 0.000000	 0.002640
68	 0.005109	 0.004975	 0.000059	 0.000000	 0.000041	0.365831	 0.355004	 0.005221	 0.000000	 0.002681
