Iter 	incumb_est 	candid_est 	error
139 	-40.972437 	-40.973720 	-0.000031
140 	-41.026460 	-41.026491 	-0.000001
141 	-41.033450 	-41.033473 	-0.000001
142 	-41.086954 	-41.087227 	-0.000007
143 	-41.078040 	-41.078608 	-0.000014
144 	-41.025629 	-41.026605 	-0.000024
145 	-41.026339 	-41.026414 	-0.000002
146 	-40.999011 	-41.000045 	-0.000025
147 	-41.000522 	-41.000574 	-0.000001
148 	-40.935396 	-40.937535 	-0.000052
149 	-40.919728 	-40.919782 	-0.000001
150 	-40.921855 	-40.921880 	-0.000001
151 	-40.899876 	-40.899948 	-0.000002
152 	-40.877863 	-40.877877 	-0.000000
153 	-40.860757 	-40.860851 	-0.000002
154 	-40.872405 	-40.872411 	-0.000000
155 	-40.874029 	-40.874147 	-0.000003
156 	-40.883394 	-40.883395 	-0.000000
157 	-40.876739 	-40.876882 	-0.000004
158 	-40.847712 	-40.847869 	-0.000004
159 	-40.853568 	-40.854131 	-0.000014
160 	-40.833292 	-40.833477 	-0.000005
161 	-40.835711 	-40.836205 	-0.000012
162 	-40.830634 	-40.830849 	-0.000005
163 	-40.878424 	-40.878960 	-0.000013
164 	-40.902407 	-40.902412 	-0.000000
165 	-40.912970 	-40.912972 	-0.000000
166 	-40.876994 	-40.877111 	-0.000003
167 	-40.923219 	-40.923258 	-0.000001
168 	-40.904519 	-40.904556 	-0.000001
169 	-40.885944 	-40.885968 	-0.000001
170 	-40.855295 	-40.855642 	-0.000008
171 	-40.882984 	-40.883039 	-0.000001
172 	-40.870669 	-40.870736 	-0.000002
173 	-40.850211 	-40.850840 	-0.000015
174 	-40.845279 	-40.845365 	-0.000002
175 	-40.811629 	-40.811786 	-0.000004
176 	-40.796410 	-40.796867 	-0.000011
177 	-40.815590 	-40.815717 	-0.000003
178 	-40.824584 	-40.825078 	-0.000012
179 	-40.854153 	-40.854254 	-0.000002
180 	-40.841353 	-40.841886 	-0.000013
181 	-40.823143 	-40.823221 	-0.000002
182 	-40.823995 	-40.824568 	-0.000014
183 	-40.782503 	-40.782512 	-0.000000
184 	-40.765319 	-40.765332 	-0.000000
185 	-40.763053 	-40.763070 	-0.000000
186 	-40.743372 	-40.743393 	-0.000001
187 	-40.745504 	-40.745530 	-0.000001
188 	-40.752466 	-40.752497 	-0.000001
189 	-40.750962 	-40.750999 	-0.000001
190 	-40.748750 	-40.748793 	-0.000001
191 	-40.747300 	-40.747349 	-0.000001
192 	-40.787510 	-40.787570 	-0.000001
193 	-40.757645 	-40.757653 	-0.000000
194 	-40.757279 	-40.757291 	-0.000000
195 	-40.758435 	-40.758450 	-0.000000
